Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,39.580002,39.820000,36.880001,39.189999,39.189999,0
2009-01-05,39.240002,40.220001,38.299999,39.080002,39.080002,0
2009-01-06,38.060001,39.330002,37.340000,38.560001,38.560001,0
2009-01-07,40.290001,43.820000,40.119999,43.389999,43.389999,0
2009-01-08,43.380001,44.599998,42.560001,42.560001,42.560001,0
2009-01-09,41.180000,43.130001,41.049999,42.820000,42.820000,0
2009-01-12,42.060001,46.619999,41.939999,45.840000,45.840000,0
2009-01-13,45.840000,47.080002,43.230000,43.270000,43.270000,0
2009-01-14,46.240002,51.549999,46.139999,49.139999,49.139999,0
2009-01-15,49.139999,55.160000,49.139999,51.000000,51.000000,0
2009-01-16,51.000000,51.000000,45.959999,46.110001,46.110001,0
2009-01-20,50.119999,57.360001,49.270000,56.650002,56.650002,0
2009-01-21,51.520000,54.119999,46.150002,46.419998,46.419998,0
2009-01-22,50.650002,51.759998,46.509998,47.290001,47.290001,0
2009-01-23,50.389999,51.110001,46.430000,47.270000,47.270000,0
2009-01-26,47.889999,47.930000,44.290001,45.689999,45.689999,0
2009-01-27,45.110001,45.930000,42.200001,42.250000,42.250000,0
2009-01-28,42.250000,42.250000,38.090000,39.660000,39.660000,0
2009-01-29,41.340000,43.029999,41.119999,42.630001,42.630001,0
2009-01-30,42.630001,45.529999,42.090000,44.840000,44.840000,0
2009-02-02,49.419998,49.540001,45.259998,45.520000,45.520000,0
2009-02-03,45.520000,45.520000,42.430000,43.060001,43.060001,0
2009-02-04,43.060001,44.520000,41.389999,43.849998,43.849998,0
2009-02-05,43.830002,46.230000,42.320000,43.730000,43.730000,0
2009-02-06,43.709999,43.709999,41.200001,43.369999,43.369999,0
2009-02-09,45.400002,45.450001,43.040001,43.639999,43.639999,0
2009-02-10,45.139999,48.119999,44.180000,46.669998,46.669998,0
2009-02-11,46.669998,46.669998,44.500000,44.529999,44.529999,0
2009-02-12,44.520000,47.580002,41.209999,41.250000,41.250000,0
2009-02-13,41.599998,43.020000,40.730000,42.930000,42.930000,0
2009-02-17,48.139999,51.180000,46.959999,48.660000,48.660000,0
2009-02-18,48.660000,50.290001,46.000000,48.459999,48.459999,0
2009-02-19,48.540001,48.540001,44.810001,47.080002,47.080002,0
